time,E,E_errors
-15.04838251,210.157739,241.6699008
-14.0462638,182.7622588,202.1543583
-13.09442494,206.3124366,232.9765734
-12.06779875,221.3233751,246.7755057
-11.06362458,209.6839757,230.2880815
-10.09423521,222.3122986,234.4461597
-9.066502229,245.8072807,261.5633615
-8.041299054,249.9101632,234.1678813
-7.125035575,291.6680322,278.3359638
-6.11295576,340.6289438,322.4488505
-5.120481928,384.7556295,404.1477291
-4.191253202,525.8980086,558.6359755
-3.167314929,665.7593869,710.603617
-2.13847516,843.1929579,903.8070679
-1.215096607,1084.945652,1147.969976
-0.156531638,908.4182111,950.8522278
0.865351168,450.7053267,477.3556646
1.931663663,333.5661903,314.1878897
2.872118395,415.3064657,394.7023599
3.925781868,492.1159225,524.8538894
4.939442811,553.1968964,581.0730395
5.909306517,569.4612379,596.1529727
6.924706701,643.8742802,688.7461083
7.931726908,654.0509928,696.4712105
8.91107738,597.5811622,641.2133861
9.985611738,543.4663493,507.1061627
11.03990766,479.6692856,523.3015095
11.99870348,411.0931917,451.1031959
12.99465579,336.4294688,373.9878627
14.0500585,281.1164486,321.1126539
15.03257123,248.8867424,285.260728