time,FSH,FSH_errors
-15.02489873,142.9990751,152.483209
-14.01919605,158.1600384,167.6469994
-13.10091154,174.9788977,182.813617
-12.07545951,168.2822906,174.0552417
-11.04237428,178.9045367,184.2679612
-10.10143254,180.4634839,187.0639693
-9.074344818,177.4780596,182.838657
-8.046166646,176.9667573,182.3273547
-7.169622339,165.7483956,172.7584076
-6.146351215,154.1035448,160.698376
-5.151734834,144.1109357,149.8838867
-4.21551839,134.948688,139.8941047
-3.19388295,119.5926544,125.7807862
-2.195995202,117.0224109,122.7953619
-1.180114942,155.2751784,165.595328
-0.135458779,325.48394,303.6263696
0.84183148,209.5136166,224.3555207
1.868676874,139.3117208,145.9093791
2.803802862,127.6753513,134.6825362
3.886564379,117.6742608,124.2747463
4.881544246,108.506359,114.27931
5.818851145,101.8182332,106.7636499
6.811650101,87.70208762,92.64750427
7.867574302,83.47677532,88.01266544
8.834262913,76.78582247,81.32171258
9.892913252,78.74581487,83.28170499
10.9822175,83.5894557,88.95288022
11.95563059,92.15558778,97.51901229
12.93013413,103.1958417,110.6182074
13.9668542,122.0651608,134.4357702
14.94226645,135.167183,154.9629851