Diameter,Granulosa_num
0.932651859,0.615751065
1.845243152,0.857297286
2.87293605,1.193898336
3.898655778,1.799231641
4.92536209,2.606543009
5.892873292,4.03234575
6.932076351,3.543273068
7.951218844,6.947104098
9.038435714,8.941506154
9.898409131,10.21815672
10.9323504,11.0826337
11.96267419,13.8920743
13.05613944,13.9254261
13.97201935,16.9978912
15.0053029,18.92750678
15.97741816,24.35514183
17.00083586,40.24465454
18.03576371,41.96011854
19.01379849,42.60714693
19.99018896,46.20596702
22.05905809,52.25128637
23.09595911,50.34329702
24.01710081,49.78570329
25.17009003,46.12294368